Lambda,col2,col3,output
380,0.53307,3.08E-10,0.46693
381,0.5322,9.60E-10,0.4678
382.01,0.52992,2.02E-09,0.47008
383.01,0.52637,4.27E-09,0.47363
384.01,0.52084,9.08E-09,0.47916
385.01,0.51258,1.96E-08,0.48742
386.02,0.50091,4.30E-08,0.49909
387.02,0.48545,9.76E-08,0.51455
388.02,0.46657,2.30E-07,0.53343
389.02,0.44612,5.66E-07,0.55388
390.03,0.42841,1.45E-06,0.57159
391.03,0.42609,2.46E-06,0.57391
392.03,0.43384,3.58E-06,0.56616
393.04,0.44901,5.12E-06,0.55098
394.04,0.47022,7.16E-06,0.52978
395.04,0.49515,9.80E-06,0.50484
396.04,0.52108,1.31E-05,0.47891
397.05,0.54531,1.72E-05,0.45467
398.05,0.5655,2.23E-05,0.43448
399.05,0.57974,2.88E-05,0.42023
400.05,0.5864,3.73E-05,0.41356
401.06,0.58207,4.39E-05,0.41789
402.06,0.56995,5.13E-05,0.43
403.06,0.5501,6.13E-05,0.44984
404.07,0.52164,7.55E-05,0.47829
405.07,0.48392,9.59E-05,0.51599
406.07,0.43718,0.00012571,0.56269
407.07,0.38386,0.00016917,0.61597
408.08,0.33029,0.00023139,0.66948
409.08,0.28752,0.00031673,0.71216
410.08,0.26843,0.00042621,0.73114
411.08,0.27871,0.00051876,0.72077
412.09,0.30835,0.00060094,0.69105
413.09,0.34965,0.00067332,0.64968
414.09,0.39605,0.0007276,0.60322
415.09,0.444,0.00075482,0.55525
416.1,0.49215,0.00074943,0.5071
417.1,0.53925,0.00071449,0.46003
418.1,0.58312,0.00066179,0.41622
419.11,0.62144,0.00060578,0.37796
420.11,0.65279,0.00055757,0.34665
421.11,0.67334,0.00051743,0.32615
422.11,0.68755,0.00049023,0.31196
423.12,0.69687,0.00047689,0.30266
424.12,0.70176,0.00047741,0.29776
425.12,0.70256,0.00049252,0.29695
426.12,0.69945,0.00052403,0.30002
427.13,0.69247,0.00057532,0.30695
